freq,ch1,ch2,tran,errtrans,fase 
1.161395524021690733e+02,1.000000000000000000e+01,1.359999895100000078e+00,7.352941743620285742e+00,9.228917519010918502e-01,1.359999895100000078e+00
1.274630153862967319e+02,1.000000000000000000e+01,1.439999937999999924e+00,6.944444743441371415e+00,8.493706652978694205e-01,1.439999937999999924e+00
1.398905020324830275e+02,1.000000000000000000e+01,1.439999937999999924e+00,6.944444743441371415e+00,8.493706652978694205e-01,1.439999937999999924e+00
1.535296532848540778e+02,1.000000000000000000e+01,1.439999937999999924e+00,6.944444743441371415e+00,8.493706652978694205e-01,1.519999980899999992e+00
1.684986049467042051e+02,1.000000000000000000e+01,1.519999980899999992e+00,6.578947451090721543e+00,7.858074118913556116e-01,1.599999904599999967e+00
1.849270109163099391e+02,1.000000000000000000e+01,1.599999904599999967e+00,6.250000372656272063e+00,7.303922186798453842e-01,1.599999904599999967e+00
2.029571661869711932e+02,1.000000000000000000e+01,1.679999947500000035e+00,5.952381138392862425e+00,6.817171612846538720e-01,1.759999990499999889e+00
2.227452393381697959e+02,1.000000000000000000e+01,1.759999990499999889e+00,5.681818212487087294e+00,6.386728293157902803e-01,1.759999990499999889e+00
2.444626251930965850e+02,1.000000000000000000e+01,1.919999957099999932e+00,5.208333449707033935e+00,5.661084052023765967e-01,1.839999914200000086e+00
2.682974293586153181e+02,1.007999992370000086e+01,1.919999957099999932e+00,5.250000077565106338e+00,5.703104710433486435e-01,1.919999957099999932e+00
2.944560975060409191e+02,1.015999984739999995e+01,2.079999923699999975e+00,4.884615490430847196e+00,5.149704326797872600e-01,2.079999923699999975e+00
3.231652035047827667e+02,1.015999984739999995e+01,2.240000009500000111e+00,4.535714198352997606e+00,4.659703790326797934e-01,2.240000009500000111e+00
3.546734118968111602e+02,1.015999984739999995e+01,2.399999856900000061e+00,4.233333522162511464e+00,4.250239928395559419e-01,2.399999856900000061e+00
3.892536317099607004e+02,1.015999984739999995e+01,2.559999942800000206e+00,3.968750029067383167e+00,3.903538663300690770e-01,2.559999942800000206e+00
4.272053802653703656e+02,1.015999984739999995e+01,2.720000028599999897e+00,3.735294022268599523e+00,3.606601434260345296e-01,2.720000028599999897e+00
4.688573774532354150e+02,1.015999984739999995e+01,2.879999875999999848e+00,3.527777876682103297e+00,3.349721756409071993e-01,2.879999875999999848e+00
5.145703929472380196e+02,1.015999984739999995e+01,3.199999809299999942e+00,3.175000141522664521e+00,2.928284494307371588e-01,3.199999809299999942e+00
5.647403710188708601e+02,1.023999977110000081e+01,3.359999895100000078e+00,3.047619074641441106e+00,2.773393853983995294e-01,3.359999895100000078e+00
6.198018600173010100e+02,1.031999969479999990e+01,3.679999828300000164e+00,2.804347873996339668e+00,2.493424592151026464e-01,3.679999828300000164e+00
6.802317762192874397e+02,1.031999969479999990e+01,3.920000076300000025e+00,2.632652932124638134e+00,2.306413060078633392e-01,3.920000076300000025e+00
7.465535346498172657e+02,1.039999961850000076e+01,4.239999771099999926e+00,2.452830231120953108e+00,2.110401508543998939e-01,4.239999771099999926e+00
8.193415826526515957e+02,1.047999954219999985e+01,4.639999866500000181e+00,2.258620655975400293e+00,1.905987260003592920e-01,4.639999866500000181e+00
8.992263754784115690e+02,1.063999938959999980e+01,4.960000038099999564e+00,2.145161150780113157e+00,1.784433997017832174e-01,4.960000038099999564e+00
9.868998369863526250e+02,1.063999938959999980e+01,5.359999656700000337e+00,1.985074640126142320e+00,1.627842388892151715e-01,5.359999656700000337e+00
